# NetworkManager-compatible Wi-Fi channel table.
# Reviewed against NetworkManager commit 4f92885b8a,
# src/libnm-core-impl/nm-utils.c table_2ghz/table_5ghz/table_6ghz.
# band,frequency_mhz,channel
2.4,2412,1
2.4,2417,2
2.4,2422,3
2.4,2427,4
2.4,2432,5
2.4,2437,6
2.4,2442,7
2.4,2447,8
2.4,2452,9
2.4,2457,10
2.4,2462,11
2.4,2467,12
2.4,2472,13
2.4,2484,14
5,5160,32
5,5180,36
5,5200,40
5,5220,44
5,5240,48
5,5260,52
5,5280,56
5,5300,60
5,5320,64
5,5500,100
5,5520,104
5,5540,108
5,5560,112
5,5580,116
5,5600,120
5,5620,124
5,5640,128
5,5660,132
5,5680,136
5,5700,140
5,5720,144
5,5745,149
5,5765,153
5,5785,157
5,5805,161
5,5825,165
5,4915,183
5,4920,184
5,4925,185
5,4935,187
5,4940,188
5,4945,189
5,4960,192
5,4980,196
6,5955,1
6,5975,5
6,5995,9
6,6015,13
6,6035,17
6,6055,21
6,6075,25
6,6095,29
6,6115,33
6,6135,37
6,6155,41
6,6175,45
6,6195,49
6,6215,53
6,6235,57
6,6255,61
6,6275,65
6,6295,69
6,6315,73
6,6335,77
6,6355,81
6,6375,85
6,6395,89
6,6415,93
6,6435,97
6,6455,101
6,6475,105
6,6495,109
6,6515,113
6,6535,117
6,6555,121
6,6575,125
6,6595,129
6,6615,133
6,6635,137
6,6655,141
6,6675,145
6,6695,149
6,6715,153
6,6735,157
6,6755,161
6,6775,169
6,6815,173
6,6835,177
6,6855,181
6,6875,185
6,6895,189
6,6915,193
6,6935,197
6,6955,201
6,6975,205
6,6995,209
6,7015,213
6,7035,217
6,7055,221
6,7075,225
6,7095,229
6,7115,233
